source_center,destination_center,route_type,delay_ratio,avg_distance,pct_sla_breach,trip_count
IND000000AEL,IND000000ACB,Carting,3.0121388991631206,11.031919607843136,0.7058823529411765,102
IND000000AEM,IND110037AAB,Carting,4.921201205914828,10.98876862745098,0.8235294117647058,51
IND000000AEM,IND110064AAB,Carting,2.3008877073222576,9.783245454545455,0.7878787878787878,66
IND000000AET,IND000000AAS,FTL,3.053000414160479,22.7910875,1.0,24
IND000000AFF,IND734203AAA,FTL,4.5964912280701755,27.9396,1.0,3
IND000000AFG,IND673027AAB,FTL,1.8255360623781676,22.171349999999997,1.0,2
IND000000AFG,IND673632AAA,FTL,2.266016574002055,22.69643333333333,1.0,6
IND000000AFJ,IND695121AAA,Carting,1.0990080752580753,9.157237499999999,0.275,40
IND000000AFJ,IND695572AAB,Carting,2.333333333333333,11.389050000000001,1.0,2
IND000000AFR,IND683511AAA,Carting,2.205886937136937,9.661933333333334,1.0,24
IND000000AFT,IND400072AAB,Carting,1.9107142857142858,10.30523,0.9,20
IND000000AFT,IND400701AAA,Carting,3.25,12.52195,1.0,2
IND000000AFT,IND400706AAA,Carting,2.3407407407407406,9.435566666666666,0.6666666666666666,3
IND000000AFT,IND410206AAA,Carting,3.168484848484849,10.70828,0.8,5
IND000000AFT,IND410206AAB,Carting,2.8,10.288499999999999,1.0,2
IND000000AFT,IND410209AAA,Carting,2.231592712842713,9.7640325,0.8375,80
IND000000AFT,IND410210AAA,Carting,1.7359140158087527,9.368436,0.52,25
IND000000AFT,IND421302AAG,Carting,4.308226561926182,12.239220689655173,0.896551724137931,29
IND110014AAA,IND110024AAA,Carting,2.494724025974026,6.6404049999999994,0.7,20
IND110020AAB,IND110037AAM,Carting,5.612867132867133,10.021381818181817,0.6363636363636364,11
IND110024AAA,IND110014AAA,Carting,1.5917277167277166,7.146392307692308,0.7692307692307693,13
IND110030AAD,IND000000ACB,Carting,3.8845113988280078,11.262055882352941,0.7647058823529411,34
IND110035AAC,IND110037AAM,Carting,1.7626984126984127,10.525983333333333,0.8333333333333334,6
IND110037AAK,IND000000ACB,Carting,3.913233041560559,10.502421468926553,0.8813559322033898,177
IND110037AAM,IND000000ACB,FTL,1.641552589924883,22.268479166666665,0.875,24
IND110037AAM,IND110020AAB,Carting,6.638016470708778,9.423103846153847,0.7692307692307693,26
IND110037AAM,IND110024AAA,Carting,2.0261900136900137,10.340547222222222,0.8055555555555556,36
IND110037AAM,IND110035AAC,Carting,2.739278853862187,10.412508333333333,0.9166666666666666,72
IND110037AAM,IND110064AAA,Carting,3.595833333333333,9.4527,0.6666666666666666,3
IND110037AAM,IND110085AAB,Carting,2.248035786994597,10.984021739130435,0.9347826086956522,46
IND110037AAM,IND110092AAC,Carting,1.968671679197995,11.143500000000001,1.0,3
IND110037AAM,IND121004AAB,Carting,2.6185349875567265,9.732790579710144,0.8623188405797102,138
IND110037AAM,IND125001AAA,FTL,2.477192023359271,28.639614285714288,1.0,7
IND110037AAM,IND131028AAB,Carting,2.004545454545455,8.80664,0.6,5
IND110037AAM,IND201001AAC,Carting,1.7332388481475702,12.55863448275862,0.5517241379310345,29
IND110037AAM,IND201007AAA,Carting,2.4042202890371107,12.736933333333333,0.8333333333333334,18
IND110037AAM,IND201301AAD,Carting,4.290957190957191,11.732199999999999,1.0,9
IND110037AAM,IND201301AAF,Carting,2.1538709438709436,11.6159,1.0,15
IND110037AAM,IND202001AAB,FTL,2.4555200152600665,25.223596710526316,0.8421052631578947,152
IND110037AAM,IND209304AAA,FTL,1.9208700863028811,27.473358351893093,0.9621380846325167,449
IND110037AAM,IND226004AAC,FTL,1.545593292754418,27.459985,0.95,20
IND110037AAM,IND250002AAC,FTL,3.7989880522450945,26.6284125,0.625,8
IND110037AAM,IND282001AAA,FTL,2.0610352079210923,25.942,1.0,32
IND110037AAM,IND282001AAC,FTL,2.0181738400488403,25.41555,1.0,8
IND110037AAM,IND282002AAD,FTL,1.9232676513587892,25.5794,1.0,8
IND110037AAM,IND421302AAG,FTL,1.8452547239552461,32.055198404907976,0.8650306748466258,815
IND110037AAM,IND781018AAB,FTL,2.2132371447075334,32.08030441176471,0.9411764705882353,68
IND110037AAM,IND811399AAA,FTL,6.445459540928159,17.44339090909091,0.6363636363636364,22
IND110039AAA,IND110085AAB,Carting,3.6996003996003997,7.3137,0.8333333333333334,6
IND110043AAA,IND000000ACB,Carting,4.423965327757897,12.429226315789474,0.7368421052631579,19
IND110043AAA,IND110078AAA,Carting,2.5121134312310787,9.80645303030303,0.7424242424242424,66
IND110043AAC,IND000000ACB,Carting,1.4384848484848485,12.638659999999998,0.8,5
IND110044AAB,IND000000ACB,Carting,1.9263187639048958,11.568713907284769,0.7064017660044151,453
IND110044AAB,IND110030AAD,Carting,2.883052503052503,7.70029,0.8333333333333334,60
IND110044AAB,IND110037AAM,Carting,1.709750566893424,10.701671428571428,0.8571428571428571,7
IND110044AAB,IND131028AAB,Carting,2.0363916795923376,10.1410435,0.76,200
IND110044AAB,IND201007AAA,Carting,2.398795875099351,9.933168181818182,0.9545454545454546,22
IND110044AAB,IND201301AAF,Carting,7.710416666666667,6.6066125,0.7916666666666666,24
IND110052AAA,IND000000ACB,Carting,1.751104748426177,9.691038571428571,0.7428571428571429,70
IND110064AAA,IND000000ACB,Carting,6.179086330349348,10.8419658008658,0.5887445887445888,231
IND110064AAA,IND110005AAA,Carting,1.7692307692307692,7.536066666666667,0.6666666666666666,3
IND110064AAA,IND110046AAA,Carting,3.0,13.5862,1.0,1
IND110077AAA,IND110043AAA,Carting,1.3333333333333333,11.7786,1.0,1
IND110078AAA,IND110043AAA,Carting,3.1528518458665515,9.523582142857142,0.9642857142857143,28
IND110083AAA,IND110085AAB,Carting,3.9714285714285715,7.987500000000001,0.5,2
IND110085AAB,IND000000ACB,Carting,2.681239632049956,10.284624489795918,0.7142857142857143,49
IND110085AAB,IND110039AAA,Carting,1.5587781266352694,8.304442857142858,0.5714285714285714,7
IND110085AAB,IND110083AAA,Carting,2.2266666666666666,7.212300000000001,0.6,5
IND110085AAB,IND110085AAA,Carting,2.076923076923077,11.4111,1.0,1
IND110085AAB,IND110087AAA,Carting,1.2923076923076924,7.046260000000001,0.4,5
